"SampleID","Individual_ID","UniProt","GeneID","Assay","NPX","Panel","Index"
"CV21_1","CV21","P42785","PRCP","PRCP",2.20938,"CM",1
"C161_2","C161","P42785","PRCP","PRCP",1.58386,"CM",2
"C173_3","C173","P42785","PRCP","PRCP",0.85673,"CM",3
"CV11_4","CV11","P42785","PRCP","PRCP",1.63151,"CM",4
"CV59_5","CV59","P42785","PRCP","PRCP",0.64489,"CM",5
"C193_6","C193","P42785","PRCP","PRCP",0.65128,"CM",6
"C33_7","C33","P42785","PRCP","PRCP",0.69374,"CM",7
"CV39_8","CV39","P42785","PRCP","PRCP",1.09712,"CM",8
"CV6_9","CV6","P42785","PRCP","PRCP",1.8995,"CM",9
"CV38_10","CV38","P42785","PRCP","PRCP",1.72346,"CM",10
"CV4_11","CV4","P42785","PRCP","PRCP",0.69872,"CM",11
"C195_12","C195","P42785","PRCP","PRCP",1.07357,"CM",12
"CV1_13","CV1","P42785","PRCP","PRCP",0.61055,"CM",13
"C237_14","C237","P42785","PRCP","PRCP",1.19429,"CM",14
"CV2_15","CV2","P42785","PRCP","PRCP",0.32423,"CM",15
"C189_16","C189","P42785","PRCP","PRCP",0.94542,"CM",16
"CV42_17","CV42","P42785","PRCP","PRCP",1.97023,"CM",17
"CV79_18","CV79","P42785","PRCP","PRCP",1.38031,"CM",18
"CV3_19","CV3","P42785","PRCP","PRCP",0.28226,"CM",19
"CV36_20","CV36","P42785","PRCP","PRCP",1.41429,"CM",20
"CV55_21","CV55","P42785","PRCP","PRCP",1.3812,"CM",21
"C246_22","C246","P42785","PRCP","PRCP",1.18128,"CM",22
"CV30_23","CV30","P42785","PRCP","PRCP",0.72615,"CM",23
"CV19_24","CV19","P42785","PRCP","PRCP",1.10595,"CM",24
"CV13_25","CV13","P42785","PRCP","PRCP",1.04624,"CM",25
"C137_26","C137","P42785","PRCP","PRCP",1.22877,"CM",26
"CV47_27","CV47","P42785","PRCP","PRCP",1.13348,"CM",27
"CV29_28","CV29","P42785","PRCP","PRCP",1.3137,"CM",28
"CV14_29","CV14","P42785","PRCP","PRCP",0.64687,"CM",29
"CV56_30","CV56","P42785","PRCP","PRCP",1.26696,"CM",30
"CV82_31","CV82","P42785","PRCP","PRCP",1.15391,"CM",31
"CV23_32","CV23","P42785","PRCP","PRCP",0.86612,"CM",32
"CV37_33","CV37","P42785","PRCP","PRCP",2.48796,"CM",33
"CV34_34","CV34","P42785","PRCP","PRCP",1.47269,"CM",34
"CV58_35","CV58","P42785","PRCP","PRCP",1.44817,"CM",35
"CV22_36","CV22","P42785","PRCP","PRCP",1.78143,"CM",36
"CV65_37","CV65","P42785","PRCP","PRCP",0.17031,"CM",37
"CV79_38","CV79","P42785","PRCP","PRCP",1.19992,"CM",38
"CV1_39","CV1","P42785","PRCP","PRCP",1.46647,"CM",39
"CV51_40","CV51","P42785","PRCP","PRCP",0.96487,"CM",40
"CV42_41","CV42","P42785","PRCP","PRCP",1.13861,"CM",41
"CV19_42","CV19","P42785","PRCP","PRCP",1.37234,"CM",42
"CV70_43","CV70","P42785","PRCP","PRCP",1.27972,"CM",43
"C78_44","C78","P42785","PRCP","PRCP",2.03132,"CM",44
"CV10_45","CV10","P42785","PRCP","PRCP",0.70683,"CM",45
"CV8_46","CV8","P42785","PRCP","PRCP",1.20006,"CM",46
"CV60_47","CV60","P42785","PRCP","PRCP",2.4806,"CM",47
"CV35_48","CV35","P42785","PRCP","PRCP",2.02081,"CM",48
"CV48_49","CV48","P42785","PRCP","PRCP",0.84387,"CM",49
"CV76_50","CV76","P42785","PRCP","PRCP",1.87691,"CM",50
"CV12_51","CV12","P42785","PRCP","PRCP",1.2751,"CM",51
"C58_52","C58","P42785","PRCP","PRCP",1.26053,"CM",52
"CV53_53","CV53","P42785","PRCP","PRCP",1.83375,"CM",53
"CV50_54","CV50","P42785","PRCP","PRCP",1.32254,"CM",54
"CV32_56","CV32","P42785","PRCP","PRCP",1.06402,"CM",56
"C197_57","C197","P42785","PRCP","PRCP",0.74983,"CM",57
"CV18_58","CV18","P42785","PRCP","PRCP",1.4283,"CM",58
"CV29_59","CV29","P42785","PRCP","PRCP",1.92074,"CM",59
"CV34_60","CV34","P42785","PRCP","PRCP",1.07391,"CM",60
"CV41_61","CV41","P42785","PRCP","PRCP",1.20628,"CM",61
"CV9_62","CV9","P42785","PRCP","PRCP",3.21953,"CM",62
"CV74_63","CV74","P42785","PRCP","PRCP",1.43348,"CM",63
"CV16_64","CV16","P42785","PRCP","PRCP",1.2807,"CM",64
"CV21_1","CV21","P00915","CA1","CA1",6.57032,"CM",1
"C161_2","C161","P00915","CA1","CA1",6.16524,"CM",2
"C173_3","C173","P00915","CA1","CA1",6.39401,"CM",3
"CV11_4","CV11","P00915","CA1","CA1",7.36656,"CM",4
"CV59_5","CV59","P00915","CA1","CA1",5.98497,"CM",5
"C193_6","C193","P00915","CA1","CA1",5.74442,"CM",6
"C33_7","C33","P00915","CA1","CA1",5.5905,"CM",7
"CV39_8","CV39","P00915","CA1","CA1",6.66191,"CM",8
"CV6_9","CV6","P00915","CA1","CA1",6.449,"CM",9
"CV38_10","CV38","P00915","CA1","CA1",5.67168,"CM",10
"CV4_11","CV4","P00915","CA1","CA1",5.77637,"CM",11
"C195_12","C195","P00915","CA1","CA1",6.45742,"CM",12
"CV1_13","CV1","P00915","CA1","CA1",5.2867,"CM",13
"C237_14","C237","P00915","CA1","CA1",6.44044,"CM",14
"CV2_15","CV2","P00915","CA1","CA1",5.84365,"CM",15
"C189_16","C189","P00915","CA1","CA1",5.76806,"CM",16
"CV42_17","CV42","P00915","CA1","CA1",8.04577,"CM",17
"CV79_18","CV79","P00915","CA1","CA1",8.14533,"CM",18
"CV3_19","CV3","P00915","CA1","CA1",4.69849,"CM",19
"CV36_20","CV36","P00915","CA1","CA1",8.57968,"CM",20
"CV55_21","CV55","P00915","CA1","CA1",7.94852,"CM",21
"C246_22","C246","P00915","CA1","CA1",4.86671,"CM",22
"CV30_23","CV30","P00915","CA1","CA1",6.57624,"CM",23
"CV19_24","CV19","P00915","CA1","CA1",5.92245,"CM",24
"CV13_25","CV13","P00915","CA1","CA1",6.85969,"CM",25
"C137_26","C137","P00915","CA1","CA1",5.04523,"CM",26
"CV47_27","CV47","P00915","CA1","CA1",6.32463,"CM",27
"CV29_28","CV29","P00915","CA1","CA1",7.11578,"CM",28
"CV14_29","CV14","P00915","CA1","CA1",6.35204,"CM",29
"CV56_30","CV56","P00915","CA1","CA1",7.36454,"CM",30
"CV82_31","CV82","P00915","CA1","CA1",8.54016,"CM",31
"CV23_32","CV23","P00915","CA1","CA1",5.34281,"CM",32
"CV37_33","CV37","P00915","CA1","CA1",7.13124,"CM",33
"CV34_34","CV34","P00915","CA1","CA1",7.77317,"CM",34
"CV58_35","CV58","P00915","CA1","CA1",9.83652,"CM",35
"CV22_36","CV22","P00915","CA1","CA1",6.39831,"CM",36
"CV65_37","CV65","P00915","CA1","CA1",7.98113,"CM",37
"CV79_38","CV79","P00915","CA1","CA1",7.75464,"CM",38
"CV1_39","CV1","P00915","CA1","CA1",7.14357,"CM",39
"CV51_40","CV51","P00915","CA1","CA1",6.83281,"CM",40
"CV42_41","CV42","P00915","CA1","CA1",7.11624,"CM",41
"CV19_42","CV19","P00915","CA1","CA1",8.07764,"CM",42
"CV70_43","CV70","P00915","CA1","CA1",8.27735,"CM",43
"C78_44","C78","P00915","CA1","CA1",5.52744,"CM",44
"CV10_45","CV10","P00915","CA1","CA1",6.00659,"CM",45
"CV8_46","CV8","P00915","CA1","CA1",5.85522,"CM",46
"CV60_47","CV60","P00915","CA1","CA1",7.49591,"CM",47
"CV35_48","CV35","P00915","CA1","CA1",5.46686,"CM",48
"CV48_49","CV48","P00915","CA1","CA1",5.40244,"CM",49
"CV76_50","CV76","P00915","CA1","CA1",6.32461,"CM",50
"CV12_51","CV12","P00915","CA1","CA1",6.06345,"CM",51
"C58_52","C58","P00915","CA1","CA1",4.58458,"CM",52
"CV53_53","CV53","P00915","CA1","CA1",7.70968,"CM",53
"CV50_54","CV50","P00915","CA1","CA1",6.53143,"CM",54
"CV32_56","CV32","P00915","CA1","CA1",4.72963,"CM",56
"C197_57","C197","P00915","CA1","CA1",6.45617,"CM",57
"CV18_58","CV18","P00915","CA1","CA1",6.91987,"CM",58
"CV29_59","CV29","P00915","CA1","CA1",6.50426,"CM",59
"CV34_60","CV34","P00915","CA1","CA1",5.19922,"CM",60
"CV41_61","CV41","P00915","CA1","CA1",6.6918,"CM",61
"CV9_62","CV9","P00915","CA1","CA1",6.64435,"CM",62
"CV74_63","CV74","P00915","CA1","CA1",6.32969,"CM",63
"CV16_64","CV16","P00915","CA1","CA1",5.93207,"CM",64
"CV21_1","CV21","P05362","ICAM1","ICAM1",8.20547,"CM",1
